transition_key,from_C_key,to_C_key,role_pair,edge_role,label,classified_role_class,form_index,edge_index,from_A,from_B,from_C,from_slot,from_fiber,from_columns,to_A,to_B,to_C,to_slot,to_fiber,to_columns,fiber_delta_mod60,slot_delta_mod15
"(0, 2)",0,2,WX/ZT,WX,reverse_partner,reverse_partner,2,0,1,2,0,2,0,"[0, 4]",1,0,2,0,2,"[0, 4]",2,13
"(0, 2)",0,2,WX/ZT,ZT,shared_B,shared_B,2,3,10,5,0,5,0,"[2, 17]",12,5,2,5,2,"[8, 18]",2,0
"(1, 10)",1,10,IW/YZ,YZ,reverse_partner,reverse_partner,1,2,0,10,1,10,1,"[0, 2]",0,1,10,1,10,"[0, 2]",9,6
"(1, 10)",1,10,IW/YZ,IW,shared_B,shared_B,1,5,2,13,1,13,1,"[4, 9]",9,13,10,13,10,"[28, 29]",9,0
"(2, 4)",2,4,WX/ZT,WX,reverse_partner,reverse_partner,3,0,3,4,2,4,2,"[7, 10]",3,2,4,2,4,"[7, 10]",2,13
"(2, 4)",2,4,WX/ZT,ZT,shared_B,shared_B,3,3,12,5,2,5,2,"[8, 18]",10,5,4,5,4,"[13, 17]",2,0
"(2, 5)",2,5,TI/XY,XY,shared_B,shared_B,2,1,1,0,2,0,2,"[0, 4]",10,0,5,0,5,"[2, 17]",3,0
"(2, 5)",2,5,TI/XY,TI,reverse_partner,reverse_partner,2,4,12,5,2,5,2,"[8, 18]",12,2,5,2,5,"[8, 18]",3,12
"(2, 14)",2,14,IW/YZ,YZ,reverse_partner,reverse_partner,0,2,3,14,2,14,2,"[7, 12]",3,2,14,2,14,"[7, 12]",12,3
"(2, 14)",2,14,IW/YZ,IW,shared_B,shared_B,0,5,1,11,2,11,2,"[4, 5]",7,11,14,11,14,"[23, 24]",12,0
"(4, 5)",4,5,TI/XY,XY,shared_B,shared_B,3,1,3,2,4,2,4,"[7, 10]",12,2,5,2,5,"[8, 18]",1,0
"(4, 5)",4,5,TI/XY,TI,reverse_partner,reverse_partner,3,4,10,5,4,5,4,"[13, 17]",10,4,5,4,5,"[13, 17]",1,14
"(5, 0)",5,0,IW/YZ,YZ,reverse_partner,reverse_partner,2,2,10,0,5,0,5,"[2, 17]",10,5,0,5,0,"[2, 17]",55,5
"(5, 0)",5,0,IW/YZ,IW,shared_B,shared_B,2,5,12,2,5,2,5,"[8, 18]",1,2,0,2,0,"[0, 4]",55,0
"(5, 2)",5,2,IW/YZ,YZ,reverse_partner,reverse_partner,3,2,12,2,5,2,5,"[8, 18]",12,5,2,5,2,"[8, 18]",57,3
"(5, 2)",5,2,IW/YZ,IW,shared_B,shared_B,3,5,10,4,5,4,5,"[13, 17]",3,4,2,4,2,"[7, 10]",57,0
"(10, 13)",10,13,WX/ZT,WX,reverse_partner,reverse_partner,1,0,9,13,10,13,10,"[28, 29]",9,10,13,10,13,"[28, 29]",3,12
"(10, 13)",10,13,WX/ZT,ZT,shared_B,shared_B,1,3,0,1,10,1,10,"[0, 2]",2,1,13,1,13,"[4, 9]",3,0
"(11, 2)",11,2,TI/XY,XY,shared_B,shared_B,0,1,7,14,11,14,11,"[23, 24]",3,14,2,14,2,"[7, 12]",51,0
"(11, 2)",11,2,TI/XY,TI,reverse_partner,reverse_partner,0,4,1,2,11,2,11,"[4, 5]",1,11,2,11,2,"[4, 5]",51,9
"(13, 1)",13,1,TI/XY,XY,shared_B,shared_B,1,1,9,10,13,10,13,"[28, 29]",0,10,1,10,1,"[0, 2]",48,0
"(13, 1)",13,1,TI/XY,TI,reverse_partner,reverse_partner,1,4,2,1,13,1,13,"[4, 9]",2,13,1,13,1,"[4, 9]",48,12
"(14, 11)",14,11,WX/ZT,WX,reverse_partner,reverse_partner,0,0,7,11,14,11,14,"[23, 24]",7,14,11,14,11,"[23, 24]",57,3
"(14, 11)",14,11,WX/ZT,ZT,shared_B,shared_B,0,3,3,2,14,2,14,"[7, 12]",1,2,11,2,11,"[4, 5]",57,0
