candidate_index,c_row,a_col,actual_selected,predicted_selected,c_shell,anchor_shell,c_rank,anchor_rank,shell_match,rank_match
0,0,0,0,0,ordinary,branch,0,0,0,1
1,0,1,1,1,ordinary,ordinary,0,0,1,1
2,0,2,0,0,ordinary,ordinary,0,1,1,0
3,0,3,0,0,ordinary,branch,0,1,0,0
4,1,0,0,0,ordinary,branch,1,0,0,0
5,1,1,0,0,ordinary,ordinary,1,0,1,0
6,1,2,1,1,ordinary,ordinary,1,1,1,1
7,1,3,0,0,ordinary,branch,1,1,0,1
8,2,0,1,1,branch,branch,0,0,1,1
9,2,1,0,0,branch,ordinary,0,0,0,1
10,2,2,0,0,branch,ordinary,0,1,0,0
11,2,3,0,0,branch,branch,0,1,1,0
12,3,0,0,0,branch,branch,1,0,1,0
13,3,1,0,0,branch,ordinary,1,0,0,0
14,3,2,0,0,branch,ordinary,1,1,0,1
15,3,3,1,1,branch,branch,1,1,1,1
