c_row,a_col,candidate_index,selected,c_key,a_key,cycle
0,0,0,0,"(('XY', 11, 2), ('IW', 2, 14), ('ZT', 14, 11))","(('XY', '[0,4]', '[2,17]'), ('IW', '[8,18]', '[0,4]'), ('ZT', '[2,17]', '[8,18]'))","XY:11->2:[0,4]->[2,17] | IW:2->14:[8,18]->[0,4] | ZT:14->11:[2,17]->[8,18]"
0,1,1,1,"(('XY', 11, 2), ('IW', 2, 14), ('ZT', 14, 11))","(('XY', '[23,24]', '[7,12]'), ('IW', '[4,5]', '[23,24]'), ('ZT', '[7,12]', '[4,5]'))","XY:11->2:[23,24]->[7,12] | IW:2->14:[4,5]->[23,24] | ZT:14->11:[7,12]->[4,5]"
0,2,2,0,"(('XY', 11, 2), ('IW', 2, 14), ('ZT', 14, 11))","(('XY', '[28,29]', '[0,2]'), ('IW', '[4,9]', '[28,29]'), ('ZT', '[0,2]', '[4,9]'))","XY:11->2:[28,29]->[0,2] | IW:2->14:[4,9]->[28,29] | ZT:14->11:[0,2]->[4,9]"
0,3,3,0,"(('XY', 11, 2), ('IW', 2, 14), ('ZT', 14, 11))","(('XY', '[7,10]', '[8,18]'), ('IW', '[13,17]', '[7,10]'), ('ZT', '[8,18]', '[13,17]'))","XY:11->2:[7,10]->[8,18] | IW:2->14:[13,17]->[7,10] | ZT:14->11:[8,18]->[13,17]"
1,0,4,0,"(('XY', 13, 1), ('IW', 1, 10), ('ZT', 10, 13))","(('XY', '[0,4]', '[2,17]'), ('IW', '[8,18]', '[0,4]'), ('ZT', '[2,17]', '[8,18]'))","XY:13->1:[0,4]->[2,17] | IW:1->10:[8,18]->[0,4] | ZT:10->13:[2,17]->[8,18]"
1,1,5,0,"(('XY', 13, 1), ('IW', 1, 10), ('ZT', 10, 13))","(('XY', '[23,24]', '[7,12]'), ('IW', '[4,5]', '[23,24]'), ('ZT', '[7,12]', '[4,5]'))","XY:13->1:[23,24]->[7,12] | IW:1->10:[4,5]->[23,24] | ZT:10->13:[7,12]->[4,5]"
1,2,6,1,"(('XY', 13, 1), ('IW', 1, 10), ('ZT', 10, 13))","(('XY', '[28,29]', '[0,2]'), ('IW', '[4,9]', '[28,29]'), ('ZT', '[0,2]', '[4,9]'))","XY:13->1:[28,29]->[0,2] | IW:1->10:[4,9]->[28,29] | ZT:10->13:[0,2]->[4,9]"
1,3,7,0,"(('XY', 13, 1), ('IW', 1, 10), ('ZT', 10, 13))","(('XY', '[7,10]', '[8,18]'), ('IW', '[13,17]', '[7,10]'), ('ZT', '[8,18]', '[13,17]'))","XY:13->1:[7,10]->[8,18] | IW:1->10:[13,17]->[7,10] | ZT:10->13:[8,18]->[13,17]"
2,0,8,1,"(('XY', 2, 5), ('IW', 5, 0), ('ZT', 0, 2))","(('XY', '[0,4]', '[2,17]'), ('IW', '[8,18]', '[0,4]'), ('ZT', '[2,17]', '[8,18]'))","XY:2->5:[0,4]->[2,17] | IW:5->0:[8,18]->[0,4] | ZT:0->2:[2,17]->[8,18]"
2,1,9,0,"(('XY', 2, 5), ('IW', 5, 0), ('ZT', 0, 2))","(('XY', '[23,24]', '[7,12]'), ('IW', '[4,5]', '[23,24]'), ('ZT', '[7,12]', '[4,5]'))","XY:2->5:[23,24]->[7,12] | IW:5->0:[4,5]->[23,24] | ZT:0->2:[7,12]->[4,5]"
2,2,10,0,"(('XY', 2, 5), ('IW', 5, 0), ('ZT', 0, 2))","(('XY', '[28,29]', '[0,2]'), ('IW', '[4,9]', '[28,29]'), ('ZT', '[0,2]', '[4,9]'))","XY:2->5:[28,29]->[0,2] | IW:5->0:[4,9]->[28,29] | ZT:0->2:[0,2]->[4,9]"
2,3,11,0,"(('XY', 2, 5), ('IW', 5, 0), ('ZT', 0, 2))","(('XY', '[7,10]', '[8,18]'), ('IW', '[13,17]', '[7,10]'), ('ZT', '[8,18]', '[13,17]'))","XY:2->5:[7,10]->[8,18] | IW:5->0:[13,17]->[7,10] | ZT:0->2:[8,18]->[13,17]"
3,0,12,0,"(('XY', 4, 5), ('IW', 5, 2), ('ZT', 2, 4))","(('XY', '[0,4]', '[2,17]'), ('IW', '[8,18]', '[0,4]'), ('ZT', '[2,17]', '[8,18]'))","XY:4->5:[0,4]->[2,17] | IW:5->2:[8,18]->[0,4] | ZT:2->4:[2,17]->[8,18]"
3,1,13,0,"(('XY', 4, 5), ('IW', 5, 2), ('ZT', 2, 4))","(('XY', '[23,24]', '[7,12]'), ('IW', '[4,5]', '[23,24]'), ('ZT', '[7,12]', '[4,5]'))","XY:4->5:[23,24]->[7,12] | IW:5->2:[4,5]->[23,24] | ZT:2->4:[7,12]->[4,5]"
3,2,14,0,"(('XY', 4, 5), ('IW', 5, 2), ('ZT', 2, 4))","(('XY', '[28,29]', '[0,2]'), ('IW', '[4,9]', '[28,29]'), ('ZT', '[0,2]', '[4,9]'))","XY:4->5:[28,29]->[0,2] | IW:5->2:[4,9]->[28,29] | ZT:2->4:[0,2]->[4,9]"
3,3,15,1,"(('XY', 4, 5), ('IW', 5, 2), ('ZT', 2, 4))","(('XY', '[7,10]', '[8,18]'), ('IW', '[13,17]', '[7,10]'), ('ZT', '[8,18]', '[13,17]'))","XY:4->5:[7,10]->[8,18] | IW:5->2:[13,17]->[7,10] | ZT:2->4:[8,18]->[13,17]"
